gen_length,ref_length,length_ratio,bleu1,bleu2,bleu4,meteor,rouge1,rouge2,rougeL,bertscore_f1,cider,token_precision,token_recall,token_f1,shot_id,start_time,movie_id
42,31,1.3548387096774193,0.2619047619047619,0.07992447073373311,0.014225211589408598,0.22985894773277954,0.4657534246575342,0.14084507042253522,0.2191780821917808,0.2192026823759079,0.4827209485280592,0.2647058823529412,0.32142857142857145,0.2903225801498439,0,0.0,10142
27,17,1.588235294117647,0.25925925925925924,0.14121975762272054,0.024010981785257506,0.49555555555555547,0.6818181818181819,0.4761904761904762,0.6363636363636364,0.3928450047969818,0.7569556101521896,0.2608695652173913,0.42857142857142855,0.32432432385390797,1,14.8,10142
33,33,1.0,0.0909090909090909,0.016854996561581053,0.007434360163166208,0.045454545454545456,0.11940298507462688,0.0,0.08955223880597016,0.027329085394740105,0.004197944013370489,0.07407407407407407,0.06666666666666667,0.07017543809787628,3,27.6,10142
39,28,1.3928571428571428,0.15384615384615385,0.0636284762975778,0.01320382335228747,0.16480819131776422,0.20588235294117646,0.030303030303030307,0.1764705882352941,0.0759778544306755,0.1410882186575221,0.12121212121212122,0.17391304347826086,0.14285714237308672,5,44.4,10142
30,28,1.0714285714285714,0.23333333333333334,0.08969937018449044,0.01806193387447607,0.18866356382978722,0.2413793103448276,0.03571428571428571,0.17241379310344826,0.06996597349643707,0.17766202943394777,0.19230769230769232,0.21739130434782608,0.20408163215493544,6,45.0,10142
41,24,1.7083333333333333,0.14634146341463414,0.019127301391900154,0.007048793693474341,0.11673151750972761,0.21212121212121213,0.0,0.1818181818181818,0.035580363124608994,0.06980238903269352,0.08823529411764706,0.15,0.1111111106447188,9,71.0,10142
34,10,3.4,0.02941176470588235,0.009440686400617014,0.005474870710453651,0.04032258064516129,0.04444444444444444,0.0,0.04444444444444444,0.10594400018453598,0.1044707858659595,0.034482758620689655,0.1,0.051282050900723214,10,79.6,10142
27,10,2.7,0.07407407407407407,0.016878989451394436,0.008301095462822575,0.08547008547008547,0.10810810810810811,0.0,0.05405405405405406,0.16275256872177124,0.2333899145376547,0.08,0.2,0.114285713877551,11,80.8,10142
27,6,4.5,0.14814814814814814,0.0754851356096397,0.017554679594930896,0.2469135802469136,0.24242424242424243,0.06451612903225806,0.1818181818181818,0.28975456953048706,0.4500204793144241,0.18181818181818182,0.6666666666666666,0.28571428537755106,12,83.0,10142
24,20,1.2,0.08333333333333333,0.019034674690672018,0.009410489957951634,0.04901960784313726,0.0909090909090909,0.0,0.0909090909090909,0.1079775020480156,0.004095993128993556,0.1,0.11764705882352941,0.10810810761139518,14,85.2,10142
41,20,2.05,0.07317073170731705,0.013525044520011482,0.005927305348705561,0.06787330316742081,0.09836065573770492,0.0,0.06557377049180328,0.05987684428691864,0.08273141175093046,0.08571428571428572,0.17647058823529413,0.11538461494452662,15,87.0,10142
21,20,1.05,0.14285714285714285,0.026726124191242442,0.012021577610863726,0.0746268656716418,0.14634146341463414,0.0,0.04878048780487805,0.10391014069318771,0.16400495255325095,0.15,0.17647058823529413,0.16216216166544922,16,87.8,10142
23,20,1.15,0.13043478260869565,0.024349237677883696,0.010900096978029118,0.07389162561576354,0.13953488372093023,0.0,0.13953488372093023,0.08014410734176636,0.05367858084062495,0.15789473684210525,0.17647058823529413,0.16666666616820988,17,89.8,10142
40,20,2.0,0.075,0.013867504905630728,0.006081389695809871,0.06818181818181818,0.1,0.0,0.06666666666666667,0.05198084935545921,0.00957276195744326,0.10714285714285714,0.17647058823529413,0.13333333286320986,18,91.0,10142
6,31,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17827050387859344,0.0,0.0,0.0,0.0,0,0.0,10142
6,17,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11450500041246414,0.0,0.0,0.0,0.0,1,14.8,10142
6,33,0.18181818181818182,0.0,0.0,0.0,0.0165016501650165,0.0,0.0,0.0,-0.14490164816379547,0.0,0.0,0.0,0.0,3,27.6,10142
6,28,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14057470858097076,0.0,0.0,0.0,0.0,5,44.4,10142
6,28,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15341885387897491,0.0,0.0,0.0,0.0,6,45.0,10142
6,24,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14479534327983856,0.0,0.0,0.0,0.0,9,71.0,10142
6,10,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02281073108315468,0.0,0.0,0.0,0.0,10,79.6,10142
6,10,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0070250979624688625,0.0,0.0,0.0,0.0,11,80.8,10142
6,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018948199227452278,0.0,0.0,0.0,0.0,12,83.0,10142
6,20,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03616449236869812,0.0,0.0,0.0,0.0,14,85.2,10142
6,20,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06400813162326813,0.0,0.0,0.0,0.0,15,87.0,10142
6,20,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02179786190390587,0.0,0.0,0.0,0.0,16,87.8,10142
23,20,1.15,0.13043478260869565,0.024349237677883696,0.010900096978029118,0.07389162561576354,0.13953488372093023,0.0,0.13953488372093023,0.08014410734176636,0.05367858084062495,0.15789473684210525,0.17647058823529413,0.16666666616820988,17,89.8,10142
6,20,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06289497017860413,0.0,0.0,0.0,0.0,18,91.0,10142
